,year,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc
totals,0.222751283,0.02414262,0.002114634,0.222923479,0.096434028,0.281843654,0.135189165,-0.001232624,0.185168213,0.078001653,0.209415982,0.213619655,0.062697704,0.262094787,0.578938613,0.463868155,0.253207827,0.157796902,0.234986121,0.626265022,0.595157415,0.666162303,0.978736214,1,0.439808057,0.100310912,0.024813097,0.018874886,0.012508224,-0.01155971,-0.015705183,0.038730512,0.045388126,0.029129757,0.02971159
crime_total_murders,0.331095224,0.085843051,0.007875898,0.165390071,0.100236588,0.246738844,0.102950526,-0.011928171,0.177241061,0.081437732,0.319307656,0.228257804,0.107402819,0.377116952,0.263354052,0.301884562,0.112884937,0.218913085,0.291623812,0.606183557,0.608736094,0.546208576,0.391506853,0.439808057,1,0.134085742,0.112488265,0.116311017,0.08645745,0.063318488,0.019397525,0.175932929,0.098937487,0.09236092,0.086438729
crime_total_firearms,0.203687313,0.823510214,0.466634642,0.547728224,0.4676142,0.336766396,0.26154742,0.082193888,0.269374989,0.172374704,0.155390608,0.403315293,0.355562349,0.359390972,0.133754927,0.116425595,0.033087237,0.022270644,0.014765144,0.071957672,0.071689908,0.085867992,0.09195555,0.100310912,0.134085742,1,0.441634223,0.459118829,0.443607157,0.354959801,0.335123136,0.362866502,0.364335669,0.361391639,0.368208489
crime_handguns,-0.010534407,0.159543195,0.079324017,0.638434144,0.688986798,0.404143892,0.362599829,0.139529034,0.285696433,0.190300866,0.100006983,0.367386528,0.306987321,0.384862348,0.053312516,0.036155315,-0.045046737,0.067918814,0.072057632,0.040289618,0.039955661,0.037059597,0.01189081,0.024813097,0.112488265,0.441634223,1,0.99379795,0.96024768,0.829606956,0.858854619,0.756716341,0.944372467,0.92297197,0.900130785
crime_rifles,0.01415948,0.169365449,0.103516636,0.647733705,0.684400413,0.404480947,0.36739763,0.131173498,0.288361053,0.184818716,0.111523848,0.369494228,0.301699631,0.394676501,0.065551022,0.041357657,-0.040872967,0.061358562,0.057818495,0.027920294,0.028470652,0.035043167,0.00747607,0.018874886,0.116311017,0.459118829,0.99379795,1,0.970149582,0.83261448,0.838399251,0.754893915,0.910575916,0.887332796,0.869965008
crime_shotguns,-0.027111057,0.169078654,0.128276537,0.587244882,0.639117598,0.324026198,0.369906061,0.125383015,0.258498928,0.172427356,0.065903285,0.31738656,0.267587831,0.309283034,0.051959361,0.03837155,-0.05268066,0.056886864,0.059435479,0.018449622,0.019288321,0.023586301,0.000483602,0.012508224,0.08645745,0.443607157,0.96024768,0.970149582,1,0.777622156,0.816506399,0.576619165,0.882206032,0.833743309,0.837313572
crime_firearms_type_unknown,-0.058540693,0.129165114,0.021005964,0.521130512,0.586161728,0.309431709,0.349204104,0.143410414,0.389006254,0.279919362,0.109619438,0.461805014,0.44617321,0.382978628,0.036060706,-0.001509911,-0.038109842,0.063212246,0.042654093,-0.010821659,-0.01019896,-0.005855706,-0.015392024,-0.01155971,0.063318488,0.354959801,0.829606956,0.83261448,0.777622156,1,0.804730679,0.648543483,0.741446379,0.748273238,0.781970511
crime_knives__cutting _instruments,-0.178659429,0.130144046,-0.022376976,0.479374497,0.61667434,0.239949826,0.389554396,0.153619276,0.397720029,0.340668207,0.027304215,0.441120873,0.473741363,0.281357091,-0.02227797,-0.036181722,-0.061231879,0.057760592,0.04366697,-0.013961814,-0.012424723,-0.016955507,-0.022470548,-0.015705183,0.019397525,0.335123136,0.858854619,0.838399251,0.816506399,0.804730679,1,0.56506882,0.832965008,0.808311591,0.878961623
crime_other_weapons,0.160045093,0.118406667,0.02817552,0.612832508,0.575500203,0.509748861,0.222319625,0.09260201,0.230256648,0.112143918,0.206222339,0.348169173,0.234402377,0.49699248,0.095134918,0.051717549,0.009090682,0.050742686,0.036089666,0.055138151,0.054544033,0.066784748,0.031489659,0.038730512,0.175932929,0.362866502,0.756716341,0.754893915,0.576619165,0.648543483,0.56506882,1,0.683040496,0.73271748,0.644436092
crime_hands_fists_feet_etc,-0.057832385,0.121715436,0.036440849,0.558293334,0.62016907,0.390539373,0.316443133,0.147128807,0.226860553,0.143309361,0.05129194,0.301693945,0.255430054,0.32084467,0.010676112,0.017074435,-0.054663322,0.076402751,0.106501084,0.076178707,0.073329262,0.048632037,0.029590183,0.045388126,0.098937487,0.364335669,0.944372467,0.910575916,0.882206032,0.741446379,0.832965008,0.683040496,1,0.893188282,0.899461686
,-0.066197585,0.122143112,0.008124988,0.563799682,0.655678756,0.346623143,0.30093652,0.13742313,0.253114932,0.203883822,0.072953036,0.320697143,0.282498552,0.31305883,0.041520916,0.031652852,-0.046813319,0.069743791,0.083649877,0.057346262,0.053987939,0.029813526,0.013549466,0.029129757,0.09236092,0.361391639,0.92297197,0.887332796,0.833743309,0.748273238,0.808311591,0.73271748,0.893188282,1,0.833144904
,-0.083895444,0.130640543,-0.007235845,0.568814172,0.653521564,0.364591011,0.37333819,0.165164414,0.326819989,0.250897031,0.08143665,0.423794643,0.403868972,0.386112291,-0.00020558,0.008063703,-0.04957726,0.094411806,0.110665988,0.054859475,0.056122629,0.033178678,0.016365946,0.02971159,0.086438729,0.368208489,0.900130785,0.869965008,0.837313572,0.781970511,0.878961623,0.644436092,0.899461686,0.833144904,1
