year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-15,New Jersey,0,0,47849,40533,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90034,353,255,200,3,0,52,38,41,19,Blue
31-Dec-14,New Jersey,0,0,49910,40664,1745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92320,337,243,200,3,5,35,42,34,18,Blue
31-Dec-14,Maryland,19079,0,55012,64067,906,142,11,16,14,25,809,1867,33,0,0,0,0,0,0,168,37,0,6,15,142207,309,208,190,1,6,11,67,20,14,Blue
31-Dec-09,New Jersey,0,0,29976,24517,0,1022,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55533,319,220,189,3,6,22,44,36,19,Blue
31-Dec-17,New Jersey,0,0,58989,42432,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103739,324,242,175,7,4,56,42,29,11,Blue
31-Dec-07,Virginia,0,0,114206,124081,0,3228,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241538,406,287,163,5,10,109,48,51,20,Blue
31-Dec-17,Virginia,11835,1,292199,198004,18622,0,0,0,0,0,0,0,0,123,43,0,0,0,0,0,0,0,0,0,520827,453,338,156,11,11,160,44,54,17,Blue
31-Dec-18,New Jersey,0,0,51074,39488,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,155,119,5,2,7,4,93124,286,202,152,0,2,48,37,28,19,Blue
31-Dec-16,Virginia,9817,0,295963,209975,12547,0,0,0,0,0,0,0,0,49,18,0,0,0,0,0,0,0,0,0,528369,482,352,151,10,10,181,33,67,30,Blue
31-Dec-19,Virginia,10353,2604,281144,173799,44048,4,5,0,0,0,0,0,0,684,123,2,0,0,0,0,0,0,0,0,512766,427,323,150,15,9,149,40,49,15,Blue
31-Dec-15,Virginia,6028,0,262120,184030,10728,0,0,0,0,0,0,0,0,55,34,2,0,0,0,0,0,0,0,0,462997,383,275,148,6,7,114,51,43,14,Blue
31-Dec-06,Virginia,0,0,103742,132077,0,3038,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,238862,398,264,142,6,13,103,49,70,15,Blue
31-Dec-18,Virginia,18450,305,253744,168859,34835,0,0,0,0,0,0,0,0,472,88,7,0,0,0,0,0,0,0,0,476760,391,297,141,8,5,143,30,49,15,Blue
31-Dec-10,Virginia,0,0,169736,145468,0,5579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320783,369,250,137,9,12,92,47,50,22,Blue
31-Dec-10,New York,30047,0,59848,147539,2950,909,121,1,1,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,241495,860,517,135,6,12,364,173,148,22,Blue
31-Dec-13,Virginia,0,0,257928,229551,10947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498426,315,225,126,3,6,90,30,40,20,Blue
31-Dec-08,Virginia,0,0,137088,137713,0,4167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278974,366,240,121,12,13,94,54,61,11,Blue
31-Dec-18,District of Columbia,2220,0,975,38,1,6,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3244,151,120,120,0,0,0,20,7,4,Blue
31-Dec-14,Virginia,732,0,221407,187656,9969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419764,337,228,119,9,10,90,35,53,21,Blue
31-Dec-19,New Jersey,0,0,48969,38355,2450,0,0,0,0,0,0,0,0,17,1,0,0,0,820,584,28,8,15,10,91257,262,176,118,2,1,55,45,25,16,Blue
31-Dec-09,New York,34216,0,54613,148597,1265,2257,155,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,241165,779,481,117,8,13,343,166,109,23,Blue
31-Dec-07,New York,39927,0,40064,131364,0,621,95,0,12,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,212174,800,500,113,12,9,366,142,124,34,Blue
31-Dec-11,Virginia,0,0,175556,149404,84,6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331468,303,208,110,10,15,73,33,41,21,Blue
31-Dec-09,Virginia,0,0,148246,143801,0,4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296463,347,229,108,8,7,106,41,55,22,Blue
31-Dec-08,New York,35622,0,44324,140795,0,989,102,0,1,0,5,82,0,0,0,0,0,0,0,0,0,0,0,0,221920,835,475,107,12,20,336,184,147,29,Blue
31-Dec-16,District of Columbia,144,0,675,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,136,105,105,0,0,0,19,6,6,Blue
31-Dec-12,Virginia,0,0,235889,203068,9797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448754,314,220,103,9,2,106,37,38,19,Blue
31-Dec-18,Colorado,112566,0,216617,160860,17352,13538,2,0,0,0,0,0,0,3159,651,25,0,0,0,0,0,0,0,0,524770,207,147,99,2,8,38,27,13,20,Blue
31-Dec-06,Washington,64972,0,70278,96733,0,3182,134,30,40,0,8034,11811,0,159,14,0,0,0,0,0,0,0,0,0,255387,186,107,90,3,12,2,31,28,20,Blue
31-Dec-19,Washington,172462,2487,206107,128716,46455,8215,156,130,788,49,9385,10186,227,6252,1294,131,0,0,7125,5688,1022,189,98,8,607170,194,135,89,5,3,38,23,24,12,Blue
31-Dec-17,District of Columbia,729,0,756,45,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1540,116,90,89,0,0,1,15,5,6,Blue
31-Dec-17,Colorado,68665,0,229708,166994,15083,13354,3,0,0,0,0,0,0,2629,544,15,0,0,0,0,0,0,0,0,496995,218,137,88,7,4,38,37,22,22,Blue
31-Dec-16,Colorado,85087,0,242502,180026,15890,14293,0,0,0,0,0,0,0,2267,443,6,0,0,0,0,0,0,0,0,540514,202,136,87,4,4,41,27,28,11,Blue
31-Dec-15,Washington,126583,0,183549,129667,15639,6814,52,57,73,2,14854,14452,31,3730,1250,69,0,0,2729,2418,209,34,65,3,502280,209,141,84,3,5,49,18,36,14,Blue
31-Dec-19,Colorado,75319,0,210909,147663,18205,13330,2,0,0,0,0,0,0,3421,663,23,0,0,0,0,0,0,0,0,469535,209,135,83,5,3,44,32,30,12,Blue
31-Dec-08,Washington,82055,0,97464,113027,0,4628,69,17,32,0,8133,11164,0,0,0,0,0,0,0,0,0,0,0,0,316589,190,110,82,2,10,16,32,25,23,Blue
