group,variable ,value
prepawn_handgun,crime_total_murders,0.285696433
prepawn_handgun,crime_total_firearms,0.288361053
prepawn_handgun,crime_handguns,0.258498928
prepawn_handgun,crime_rifles,0.389006254
prepawn_handgun,crime_shotguns,0.397720029
prepawn_handgun,crime_firearms_type_unknown,0.230256648
prepawn_handgun,crime_knives__cutting _instruments,0.226860553
prepawn_handgun,crime_other_weapons,0.253114932
prepawn_handgun,crime_hands_fists_feet_etc,0.326819989
prepawn_long_gun,year,-0.122841806
prepawn_long_gun,permit,0.079320645
prepawn_long_gun,permit_recheck,-0.017433051
prepawn_long_gun,handgun,0.209633183
prepawn_long_gun,long_gun,0.241471271
prepawn_long_gun,other,0.092704231
prepawn_long_gun,multiple,0.208188877
prepawn_long_gun,admin,0.107735607
prepawn_long_gun,prepawn_handgun,0.837380568
prepawn_long_gun,prepawn_long_gun,1
prepawn_long_gun,prepawn_other,0.148988055
prepawn_long_gun,redemption_handgun,0.582461761
prepawn_long_gun,redemption_long_gun,0.670415245
prepawn_long_gun,redemption_other,0.311009126
prepawn_long_gun,returned_handgun,0.033233386
prepawn_long_gun,returned_long_gun,-0.00591551
prepawn_long_gun,returned_other,-0.000601488
prepawn_long_gun,rentals_handgun,0.043107267
prepawn_long_gun,rentals_long_gun,0.018719167
prepawn_long_gun,private_sale_handgun,0.091401808
prepawn_long_gun,private_sale_long_gun,0.091177178
prepawn_long_gun,private_sale_other,0.149583015
prepawn_long_gun,return_to_seller_handgun,0.097618077
prepawn_long_gun,return_to_seller_long_gun,0.078001653
prepawn_long_gun,return_to_seller_other,0.081437732
prepawn_long_gun,totals,0.172374704
prepawn_long_gun,crime_total_murders,0.190300866
prepawn_long_gun,crime_total_firearms,0.184818716
prepawn_long_gun,crime_handguns,0.172427356
prepawn_long_gun,crime_rifles,0.279919362
prepawn_long_gun,crime_shotguns,0.340668207
prepawn_long_gun,crime_firearms_type_unknown,0.112143918
prepawn_long_gun,crime_knives__cutting _instruments,0.143309361
prepawn_long_gun,crime_other_weapons,0.203883822
prepawn_long_gun,crime_hands_fists_feet_etc,0.250897031
prepawn_other,year,0.349164626
prepawn_other,permit,0.067241808
prepawn_other,permit_recheck,0.00846594
prepawn_other,handgun,0.25391
prepawn_other,long_gun,0.155345069
prepawn_other,other,0.29360308
prepawn_other,multiple,0.152970287
prepawn_other,admin,0.018346534
prepawn_other,prepawn_handgun,0.269582763
prepawn_other,prepawn_long_gun,0.148988055
prepawn_other,prepawn_other,1
prepawn_other,redemption_handgun,0.328565034
prepawn_other,redemption_long_gun,0.193298694
prepawn_other,redemption_other,0.541553442
prepawn_other,returned_handgun,0.228621623
prepawn_other,returned_long_gun,0.239420533
prepawn_other,returned_other,0.156816337
prepawn_other,rentals_handgun,0.148611241
prepawn_other,rentals_long_gun,0.144638892
prepawn_other,private_sale_handgun,0.297284186
prepawn_other,private_sale_long_gun,0.315999053
prepawn_other,private_sale_other,0.374939794
prepawn_other,return_to_seller_handgun,0.208660422
prepawn_other,return_to_seller_long_gun,0.209415982
prepawn_other,return_to_seller_other,0.319307656
prepawn_other,totals,0.155390608
prepawn_other,crime_total_murders,0.100006983
prepawn_other,crime_total_firearms,0.111523848
prepawn_other,crime_handguns,0.065903285
